,DATA_TIMESTAMP,Unnamed: 0,WMO_ID,NAME,CURRENT_LATITUDE,CURRENT_LONGITUDE,TEMPERATURE_AVG_C,TEMP_24H_TN_C,TEMP_24H_TX_C,RAINFALL_24H_MM
129,1981-05-10,129,96745.0,Stasiun Meteorologi Kemayoran,-6.15559,106.84,,25.1,32.9,0.0
130,1981-05-11,130,96745.0,Stasiun Meteorologi Kemayoran,-6.15559,106.84,,25.1,33.0,0.0
131,1981-05-12,131,96745.0,Stasiun Meteorologi Kemayoran,-6.15559,106.84,,24.1,31.5,0.0
132,1981-05-13,132,96745.0,Stasiun Meteorologi Kemayoran,-6.15559,106.84,,24.9,33.6,0.3
133,1981-05-14,133,96745.0,Stasiun Meteorologi Kemayoran,-6.15559,106.84,,25.4,33.7,0.0
134,1981-05-15,134,96745.0,Stasiun Meteorologi Kemayoran,-6.15559,106.84,,25.6,33.1,1.0
135,1981-05-16,135,96745.0,Stasiun Meteorologi Kemayoran,-6.15559,106.84,,24.7,31.3,0.4
136,1981-05-17,136,96745.0,Stasiun Meteorologi Kemayoran,-6.15559,106.84,,25.2,31.8,0.0
137,1981-05-18,137,96745.0,Stasiun Meteorologi Kemayoran,-6.15559,106.84,,25.2,33.0,0.0
138,1981-05-19,138,96745.0,Stasiun Meteorologi Kemayoran,-6.15559,106.84,,25.1,33.9,0.0
139,1981-05-20,139,96745.0,Stasiun Meteorologi Kemayoran,-6.15559,106.84,,25.2,33.5,0.0
140,1981-05-21,140,96745.0,Stasiun Meteorologi Kemayoran,-6.15559,106.84,,24.3,32.2,0.0
141,1981-05-22,141,96745.0,Stasiun Meteorologi Kemayoran,-6.15559,106.84,,25.1,32.9,0.0
142,1981-05-23,142,96745.0,Stasiun Meteorologi Kemayoran,-6.15559,106.84,,25.3,33.0,0.0
143,1981-05-24,143,96745.0,Stasiun Meteorologi Kemayoran,-6.15559,106.84,,24.8,33.7,5.5
144,1981-05-25,144,96745.0,Stasiun Meteorologi Kemayoran,-6.15559,106.84,,25.3,33.3,1.9
145,1981-05-26,145,96745.0,Stasiun Meteorologi Kemayoran,-6.15559,106.84,,23.6,32.7,0.0
146,1981-05-27,146,96745.0,Stasiun Meteorologi Kemayoran,-6.15559,106.84,,23.8,33.4,0.0
147,1981-05-28,147,96745.0,Stasiun Meteorologi Kemayoran,-6.15559,106.84,,24.8,32.8,0.5
148,1981-05-29,148,96745.0,Stasiun Meteorologi Kemayoran,-6.15559,106.84,,23.8,31.1,0.0
