wmo_id,Stasiun,Lat,Lon
97320,Stasiun Meteorologi Mali,-8.13471,124.59
97340,Stasiun Meteorologi Umbu Mehang Kunda,-9.66944,120.29972
97372,Stasiun Meteorologi Eltari,-10.1678,123.67039
97374,Stasiun Klimatologi Nusa Tenggara Timur,-10.13861,123.66722
97378,Stasiun Meteorologi David Constatijn Saudale,-10.76662,123.07395
97380,Stasiun Meteorologi Tardamu,-10.5,121.83
97406,Stasiun Meteorologi Gamar Malamo,1.84092,127.7905
97430,Stasiun Meteorologi Sultan Babullah,0.8333,127.38
97432,Stasiun Geofisika Ternate,0.7719,127.3667
97460,Stasiun Meteorologi Oesman Sadik,-0.63784,127.5
97502,Stasiun Meteorologi Domine Eduard Osok,-0.89118,131.28575
97530,Stasiun Meteorologi Rendani,-0.89227,134.05041
97560,Stasiun Meteorologi Frans Kaisiepo,-1.19069,136.10361
97570,Stasiun Meteorologi Sudjarwo Tjondro Negoro,-1.8754,136.23994
97580,Stasiun Meteorologi Mararena,-1.85,138.75
97600,Stasiun Meteorologi Emalamo,-2.05,126
97630,Stasiun Meteorologi Torea,-2.91938,132.26496
97682,Stasiun Meteorologi Nabire,-3.3521,135.52
97686,Stasiun Meteorologi Wamena Jaya Wijaya,-4.08861,138.94639
97690,Stasiun Meteorologi Sentani,-2.57,140.48
97692,Stasiun Klimatologi Jayapura,-2.59231,140.16792
97694,Stasiun Klimatologi Papua Barat,-1.47,134.19
97698,Stasiun Meteorologi Dok II Jayapura,-2.53,140.72
97700,Stasiun Meteorologi Namlea,-3.25,127.08
97722,Stasiun Meteorologi Amahai,-3.3464,128.9284
97724,Stasiun Meteorologi Pattimura,-3.7114,128.0957
97726,Stasiun Klimatologi Maluku,-3.25,128.4
97728,Stasiun Geofisika Ambon,-3.69,128.19
97730,Stasiun Meteorologi Maritim Ambon,-3.79053,128.10075
97748,Stasiun Meteorologi Kuffar,-3.8813,130.88
97760,Stasiun Meteorologi Utarom,-3.64333,133.69694
97780,Stasiun Meteorologi Enarotali,-3.92688,136.38
97790,Stasiun Meteorologi Bandaneira,-4.52338,129.9043
97796,Stasiun Meteorologi Mozez Kilangin,-4.53006,136.89348
97810,Stasiun Meteorologi Karel Sadsuitubun,-5.6637,132.7362
97812,Stasiun Geofisika Nabire,-3.46,135.473
97876,Stasiun Meteorologi Tanah Merah,-6.1,140.31
97900,Stasiun Meteorologi Mathilda Batlayeri,-7.98,131.3
97978,Stasiun Klimatologi Merauke,-8.387,140.517
97980,Stasiun Meteorologi Mopah,-8.52019,140.41568
99941,Stasiun Geofisika Kendari,-3.96,122.62
99992,Balai Besar Meteorologi Klimatologi dan Geofisika Wilayah II,-6.30253,106.75636
96859,Stasiun Meteorologi Yogyakarta,-7.90746,110.05448
97116,Stasiun Meteorologi Tampa Padang Mamuju,-2.58939,119.02949
99921,Pos Meteorologi Liwa Lampung,-5.01732,104.05868
97370,Stasiun Meteorologi Maritim Tenau,-10.229,123.519
96635,Stasiun Geofisika Balikpapan,-1.2553,116.91463
96743,Stasiun Geofisika Gorontalo,0.55588,123.1406
97504,Stasiun Geofisika Sorong,-0.86,131.26
97696,Stasiun Geofisika Jayapura,-2.51461,140.70431
96225,Taman Alat Digital Staklim Sumsel,3.0156,104.43
